ds,Holiday,Demand,Temperature
2014-01-01 00:00:00,True,4091.593434,18.7
2014-01-01 00:30:00,True,4198.398912,18.1
2014-01-01 01:00:00,True,3914.64713,18.2
2014-01-01 01:30:00,True,3672.549608,17.9
2014-01-01 02:00:00,True,3497.53903,17.6
2014-01-01 02:30:00,True,3339.144792,16.8
2014-01-01 03:00:00,True,3204.312604,16.3
2014-01-01 03:30:00,True,3100.042586,16.6
2014-01-01 04:00:00,True,3039.46753,16.6
2014-01-01 04:30:00,True,3012.088648,16.7
2014-01-01 05:00:00,True,3017.270254,16.2
2014-01-01 05:30:00,True,3026.67176,16.6
2014-01-01 06:00:00,True,3042.571012,17.8
2014-01-01 06:30:00,True,3066.84604,18.1
2014-01-01 07:00:00,True,3130.006372,19.1
2014-01-01 07:30:00,True,3229.404258,20.3
2014-01-01 08:00:00,True,3231.86119,19.9
2014-01-01 08:30:00,True,3319.817796,21.3
2014-01-01 09:00:00,True,3431.795484,21.9
2014-01-01 09:30:00,True,3502.32867,22.8
2014-01-01 10:00:00,True,3577.585806,23.4
2014-01-01 10:30:00,True,3662.798382,24.0
2014-01-01 11:00:00,True,3694.39488,24.6
2014-01-01 11:30:00,True,3765.73708,25.0
2014-01-01 12:00:00,True,3848.776214,26.0
2014-01-01 12:30:00,True,3868.17164,25.8
2014-01-01 13:00:00,True,3858.321318,25.3
2014-01-01 13:30:00,True,3844.509558,25.3
2014-01-01 14:00:00,True,3837.085448,23.7
2014-01-01 14:30:00,True,3840.860404,23.6
2014-01-01 15:00:00,True,3847.447728,21.9
2014-01-01 15:30:00,True,3873.634212,19.5
2014-01-01 16:00:00,True,3888.748828,18.9
2014-01-01 16:30:00,True,3934.559662,19.4
2014-01-01 17:00:00,True,4039.507452,21.8
2014-01-01 17:30:00,True,4124.618318,23.5
2014-01-01 18:00:00,True,4139.078976,22.6
2014-01-01 18:30:00,True,4096.979848,22.7
2014-01-01 19:00:00,True,4029.811492,21.6
2014-01-01 19:30:00,True,3993.029164,23.2
2014-01-01 20:00:00,True,3949.475578,22.0
2014-01-01 20:30:00,True,3981.284612,22.3
2014-01-01 21:00:00,True,3965.314702,22.0
2014-01-01 21:30:00,True,3897.95789,22.1
2014-01-01 22:00:00,True,3772.791124,22.2
2014-01-01 22:30:00,True,3614.190022,22.1
2014-01-01 23:00:00,True,3572.151378,21.6
2014-01-01 23:30:00,True,3597.783036,20.4
2014-01-02 00:00:00,False,3948.083686,19.7
2014-01-02 00:30:00,False,4053.242124,19.3
2014-01-02 01:00:00,False,3753.879498,18.7
2014-01-02 01:30:00,False,3491.805152,18.2
2014-01-02 02:00:00,False,3314.171014,17.4
2014-01-02 02:30:00,False,3184.643156,17.1
2014-01-02 03:00:00,False,3078.028286,16.4
2014-01-02 03:30:00,False,3016.604436,16.2
2014-01-02 04:00:00,False,3000.143298,15.9
2014-01-02 04:30:00,False,3006.999744,15.5
2014-01-02 05:00:00,False,3072.665194,15.4
2014-01-02 05:30:00,False,3135.750756,15.6
2014-01-02 06:00:00,False,3283.34952,15.5
2014-01-02 06:30:00,False,3439.061364,15.4
2014-01-02 07:00:00,False,3653.146794,15.5
2014-01-02 07:30:00,False,3845.349664,15.8
2014-01-02 08:00:00,False,3847.60413,16.0
2014-01-02 08:30:00,False,3972.19593,17.0
2014-01-02 09:00:00,False,4054.548548,17.4
2014-01-02 09:30:00,False,4095.6495,18.8
2014-01-02 10:00:00,False,4139.566926,17.4
2014-01-02 10:30:00,False,4191.084388,18.2
2014-01-02 11:00:00,False,4197.770222,18.8
2014-01-02 11:30:00,False,4206.853808,19.4
2014-01-02 12:00:00,False,4213.35675,20.1
2014-01-02 12:30:00,False,4236.663142,19.6
2014-01-02 13:00:00,False,4257.284366,20.2
2014-01-02 13:30:00,False,4272.851426,20.4
2014-01-02 14:00:00,False,4282.096582,20.8
2014-01-02 14:30:00,False,4319.405718,21.3
2014-01-02 15:00:00,False,4354.401658,22.6
2014-01-02 15:30:00,False,4406.803064,23.0
2014-01-02 16:00:00,False,4471.103958,22.6
2014-01-02 16:30:00,False,4497.733488,20.7
2014-01-02 17:00:00,False,4544.263426,20.5
2014-01-02 17:30:00,False,4559.249818,19.8
2014-01-02 18:00:00,False,4477.682266,19.3
2014-01-02 18:30:00,False,4402.120532,19.3
2014-01-02 19:00:00,False,4282.057878,18.9
2014-01-02 19:30:00,False,4183.285572,18.6
2014-01-02 20:00:00,False,4133.969348,18.2
2014-01-02 20:30:00,False,4156.84741,17.6
2014-01-02 21:00:00,False,4155.534258,17.5
2014-01-02 21:30:00,False,4075.751474,17.2
2014-01-02 22:00:00,False,3922.941098,16.9
2014-01-02 22:30:00,False,3738.313138,16.8
2014-01-02 23:00:00,False,3703.04772,16.5
2014-01-02 23:30:00,False,3721.634374,16.2
2014-01-03 00:00:00,False,4068.77643,15.8
